,objectID,dimensions,width,height,depth
237,1992.2.1,67.3 x 61.0 x nan cm,67.3,61.0,
238,1992.8.1,214.0 x 153.0 x nan cm,214.0,153.0,
239,1992.9.1,185.7 x 125.4 x 6.4 cm,185.7,125.4,6.4
240,1993.1.1,278.1 x 185.4 x nan cm,278.1,185.4,
241,1993.10.1,152.4 x 106.7 x nan cm,152.4,106.7,
242,1993.12.1,22.9 x 27.9 x nan cm,22.9,27.9,
243,1993.3.1,188.0 x 51.8 x 5.1 cm,188.0,51.8,5.1
244,1993.4.1.A,81.3 x 76.2 x 35.6 cm,81.3,76.2,35.6
245,1993.8.7,75.0 x 100.0 x nan cm,75.0,100.0,
246,1993.8.8,75.0 x 100.0 x nan cm,75.0,100.0,
247,1994.4.1,15.2 x 10.2 x nan cm,15.2,10.2,
248,1994.7.1,61.0 x 91.4 x nan cm,61.0,91.4,
249,1995.12.1.10,125.7 x 96.5 x 3.8 cm,125.7,96.5,3.8
250,1995.12.1.11,106.7 x 78.7 x nan cm,106.7,78.7,
251,1995.12.1.14,106.7 x 78.7 x nan cm,106.7,78.7,
252,1995.12.1.15,54.6 x 39.4 x nan cm,54.6,39.4,
253,1995.12.1.16,106.7 x 78.7 x nan cm,106.7,78.7,
254,1995.12.1.17,106.7 x 78.7 x nan cm,106.7,78.7,
255,1995.12.1.2,106.7 x 78.7 x nan cm,106.7,78.7,
256,1995.12.1.20,125.7 x 96.5 x 3.8 cm,125.7,96.5,3.8
257,1995.12.1.21,106.7 x 78.7 x nan cm,106.7,78.7,
258,1995.12.1.23,125.7 x 96.5 x 3.8 cm,125.7,96.5,3.8
259,1995.12.1.24,106.7 x 78.7 x nan cm,106.7,78.7,
260,1995.12.1.26,106.7 x 78.7 x nan cm,106.7,78.7,
261,1995.12.1.27,78.7 x 106.7 x nan cm,78.7,106.7,
262,1995.12.1.28,95.9 x 71.8 x 3.8 cm,95.9,71.8,3.8
263,1995.12.1.29,78.7 x 54.6 x nan cm,78.7,54.6,
264,1995.12.1.3,125.7 x 96.5 x 3.8 cm,125.7,96.5,3.8
265,1995.12.1.30,54.6 x 39.4 x nan cm,54.6,39.4,
266,1995.12.1.33,106.7 x 78.7 x nan cm,106.7,78.7,
267,1995.12.1.34,106.7 x 78.7 x nan cm,106.7,78.7,
268,1995.12.1.35,78.7 x 106.7 x nan cm,78.7,106.7,
269,1995.12.1.4,125.7 x 96.5 x 3.8 cm,125.7,96.5,3.8
270,1995.12.1.6,106.7 x 78.7 x nan cm,106.7,78.7,
271,1995.12.1.7,106.7 x 78.7 x nan cm,106.7,78.7,
272,1995.12.1.8,54.6 x 39.4 x nan cm,54.6,39.4,
273,1995.12.1.9,71.8 x 57.5 x 3.8 cm,71.8,57.5,3.8
274,1995.14.1,83.2 x 101.6 x nan cm,83.2,101.6,
275,1995.14.2,85.7 x 56.5 x nan cm,85.7,56.5,
276,1995.14.3,94.0 x 94.0 x nan cm,94.0,94.0,
277,1995.16.1,121.9 x 202.6 x nan cm,121.9,202.6,
278,1995.16.18,83.8 x 83.8 x 12.7 cm,83.8,83.8,12.7
279,1995.16.8,104.8 x 171.5 x nan cm,104.8,171.5,
280,1995.2.1,125.0 x 195.0 x nan cm,125.0,195.0,
281,1995.20.1,,,,
282,1995.22.1,14.9 x 25.1 x nan cm,14.9,25.1,
283,1995.23.1,139.0 x 120.0 x nan cm,139.0,120.0,
284,1995.24.1,43.2 x 68.6 x nan cm,43.2,68.6,
285,1995.24.2,43.2 x 68.6 x nan cm,43.2,68.6,
286,1995.6.1,31.8 x 45.5 x nan cm,31.8,45.5,
287,1995.6.2,29.2 x 44.3 x nan cm,29.2,44.3,
288,1995.6.3,39.3 x 51.0 x nan cm,39.3,51.0,
289,1995.6.4,23.5 x 29.1 x nan cm,23.5,29.1,
290,1995.7.1,19.0 x nan x nan cm,19.0,,
291,1995.7.2,32.7 x 48.5 x nan cm,32.7,48.5,
292,1996.1.1,59.7 x 43.2 x nan cm,59.7,43.2,
293,1996.1.11,59.7 x 43.2 x nan cm,59.7,43.2,
294,1996.1.115,59.7 x 43.2 x nan cm,59.7,43.2,
295,1996.1.118,59.7 x 43.2 x nan cm,59.7,43.2,
296,1996.1.124,59.7 x 43.2 x nan cm,59.7,43.2,
297,1996.1.125,59.7 x 43.2 x nan cm,59.7,43.2,
298,1996.1.14,76.8 x 57.5 x 2.9 cm,76.8,57.5,2.9
299,1996.1.16,59.7 x 43.2 x nan cm,59.7,43.2,
300,1996.1.18,59.7 x 43.2 x nan cm,59.7,43.2,
301,1996.1.4,59.7 x 43.2 x nan cm,59.7,43.2,
302,1996.1.48,59.7 x 43.2 x nan cm,59.7,43.2,
303,1996.1.59,59.7 x 43.2 x nan cm,59.7,43.2,
304,1996.1.61,59.7 x 43.2 x nan cm,59.7,43.2,
305,1996.1.8,59.7 x 43.2 x nan cm,59.7,43.2,
306,1996.1.89,59.7 x 43.2 x nan cm,59.7,43.2,
307,1996.15.31,76.2 x 61.0 x nan cm,76.2,61.0,
308,1996.16.1,62.2 x 47.3 x nan cm,62.2,47.3,
309,1996.16.13,45.7 x 34.0 x nan cm,45.7,34.0,
310,1996.16.15,43.2 x 29.8 x nan cm,43.2,29.8,
311,1996.16.16,52.1 x 37.5 x nan cm,52.1,37.5,
312,1996.16.2,48.4 x 35.6 x nan cm,48.4,35.6,
313,1996.16.3,61.0 x 45.7 x nan cm,61.0,45.7,
314,1996.16.5,36.8 x 52.1 x nan cm,36.8,52.1,
315,1996.16.6,48.3 x 35.6 x nan cm,48.3,35.6,
316,1996.16.7,45.1 x 35.6 x nan cm,45.1,35.6,
317,1996.18.1,55.2 x 45.7 x nan cm,55.2,45.7,
318,1996.19.1,88.9 x 74.9 x nan cm,88.9,74.9,
319,1996.22.22,127.0 x 96.5 x nan cm,127.0,96.5,
320,1996.24.1,60.0 x 55.2 x nan cm,60.0,55.2,
321,1996.26.1,42.2 x 71.4 x 0.5 cm,42.2,71.4,0.5
322,1996.27.1,91.4 x 61.0 x nan cm,91.4,61.0,
323,1996.4.1,116.8 x 162.6 x nan cm,116.8,162.6,
324,1996.4.2,50.8 x 68.6 x nan cm,50.8,68.6,
325,1996.9.1,208.3 x 104.8 x nan cm,208.3,104.8,
326,1997.1.3,124.5 x 149.9 x nan cm,124.5,149.9,
327,1997.1.4,149.9 x 123.8 x nan cm,149.9,123.8,
328,1997.18.1,233.7 x 187.0 x 106.7 cm,233.7,187.0,106.7
329,1997.23.1,67.9 x 50.2 x nan cm,67.9,50.2,
330,1997.25.1,33.0 x 40.6 x nan cm,33.0,40.6,
331,1997.32.1,50.8 x 40.6 x nan cm,50.8,40.6,
332,1997.32.9,137.2 x 172.7 x nan cm,137.2,172.7,
333,1997.4.1,42.5 x 51.3 x nan cm,42.5,51.3,
334,1997.4.2,51.3 x 41.1 x nan cm,51.3,41.1,
335,1997.5.1.1,61.0 x 50.8 x nan cm,61.0,50.8,
336,1997.5.1.2,61.0 x 50.8 x nan cm,61.0,50.8,
337,1997.8.4,105.0 x 152.0 x nan cm,105.0,152.0,
338,1997.8.6,136.8 x 161.6 x 5.4 cm,136.8,161.6,5.4
339,1998.1.1,84.5 x 71.5 x nan cm,84.5,71.5,
340,1998.10.1,165.7 x 170.2 x nan cm,165.7,170.2,
341,1998.13.1,200.0 x 145.4 x nan cm,200.0,145.4,
342,1998.18.2,130.0 x 90.0 x nan cm,130.0,90.0,
343,1998.18.3,84.0 x 84.0 x nan cm,84.0,84.0,
344,1998.18.4,84.0 x 84.0 x nan cm,84.0,84.0,
345,1998.21.10,203.5 x 315.3 x 11.7 cm,203.5,315.3,11.7
346,1998.21.10.A,203.5 x 315.3 x 11.7 cm,203.5,315.3,11.7
347,1998.21.10.B,203.5 x 315.3 x 11.7 cm,203.5,315.3,11.7
348,1998.21.12,127.0 x 172.7 x nan cm,127.0,172.7,
349,1998.21.2,123.2 x 104.1 x nan cm,123.2,104.1,
350,1998.21.20,137.2 x 137.2 x nan cm,137.2,137.2,
351,1998.21.4,101.6 x 96.5 x 10.2 cm,101.6,96.5,10.2
352,1998.21.5,121.9 x 101.6 x 10.2 cm,121.9,101.6,10.2
353,1998.21.8,195.6 x 151.1 x nan cm,195.6,151.1,
354,1998.22.2,29.8 x 41.3 x nan cm,29.8,41.3,
355,1998.22.3,97.2 x 73.0 x nan cm,97.2,73.0,
356,1998.22.4.A,41.9 x 27.9 x nan cm,41.9,27.9,
357,1998.22.4.B,41.9 x 27.9 x nan cm,41.9,27.9,
358,1998.22.5,24.8 x 17.8 x nan cm,24.8,17.8,
359,1998.22.6,48.9 x 64.1 x nan cm,48.9,64.1,
360,1998.24.2,228.6 x 243.8 x 20.3 cm,228.6,243.8,20.3
361,1998.4.1,68.5 x 62.6 x nan cm,68.5,62.6,
362,1998.7.1,126.8 x 97.2 x nan cm,126.8,97.2,
363,1998.8.3,119.4 x 160.0 x nan cm,119.4,160.0,
364,1998.8.4,179.1 x 147.3 x nan cm,179.1,147.3,
365,1999.1.1,152.4 x 152.4 x nan cm,152.4,152.4,
366,1999.11.1,105.4 x 130.5 x nan cm,105.4,130.5,
367,1999.11.3,78.7 x 58.4 x nan cm,78.7,58.4,
368,1999.14.3,102.2 x 102.2 x nan cm,102.2,102.2,
369,1999.14.5,100.3 x 119.4 x nan cm,100.3,119.4,
370,1999.14.7,81.3 x 106.0 x nan cm,81.3,106.0,
371,1999.8.1,121.9 x 83.8 x nan cm,121.9,83.8,
372,1999.8.2,90.8 x 115.6 x nan cm,90.8,115.6,
373,1999.9.2,228.6 x 243.8 x nan cm,228.6,243.8,
374,2000.14.1,174.0 x 230.2 x nan cm,174.0,230.2,
375,2000.16.2,61.0 x 111.8 x nan cm,61.0,111.8,
376,2000.16.2.A,61.0 x 111.8 x nan cm,61.0,111.8,
377,2000.16.2.B,61.0 x 111.8 x nan cm,61.0,111.8,
378,2000.16.2.C,61.0 x 111.8 x nan cm,61.0,111.8,
379,2000.16.2.D,61.0 x 111.8 x nan cm,61.0,111.8,
380,2000.16.3,127.0 x 203.2 x nan cm,127.0,203.2,
381,2000.16.4,58.4 x 92.1 x nan cm,58.4,92.1,
382,2000.2.1,55.2 x 172.1 x nan cm,55.2,172.1,
383,2000.23.1,66.0 x 83.8 x nan cm,66.0,83.8,
384,2000.23.2,66.0 x 83.8 x nan cm,66.0,83.8,
385,2000.24.6,83.8 x 91.4 x nan cm,83.8,91.4,
386,2000.26.2,89.5 x 69.9 x nan cm,89.5,69.9,
387,2000.28.4,66.0 x 53.3 x nan cm,66.0,53.3,
388,2000.3.1,74.9 x 90.8 x 6.7 cm,74.9,90.8,6.7
389,2000.8.1,68.0 x 87.0 x nan cm,68.0,87.0,
390,2000.8.2,68.0 x 87.0 x nan cm,68.0,87.0,
391,2000.9.1,102.2 x 101.3 x 5.7 cm,102.2,101.3,5.7
392,2001.10.1,45.7 x 76.2 x nan cm,45.7,76.2,
393,2001.11.1,105.3 x 121.9 x nan cm,105.3,121.9,
394,2001.13.1,151.1 x 198.8 x 10.2 cm,151.1,198.8,10.2
395,2001.17.1,104.1 x 56.5 x nan cm,104.1,56.5,
396,2001.23.1,198.1 x 147.3 x nan cm,198.1,147.3,
397,2001.23.2,198.1 x 147.3 x nan cm,198.1,147.3,
398,2001.24.1,170.8 x 123.2 x 6.0 cm,170.8,123.2,6.0
399,2001.24.12,171.8 x 121.6 x 6.4 cm,171.8,121.6,6.4
400,2001.24.3,106.7 x 95.3 x 5.7 cm,106.7,95.3,5.7
401,2001.29.1,274.3 x 426.7 x nan cm,274.3,426.7,
402,2001.31.3,50.8 x 73.7 x 3.5 cm,50.8,73.7,3.5
403,2001.32.1,200.0 x 349.3 x nan cm,200.0,349.3,
404,2001.34.12,87.0 x 69.9 x nan cm,87.0,69.9,
405,2001.34.7,96.5 x 73.0 x nan cm,96.5,73.0,
406,2001.38.1,124.5 x 210.8 x 5.1 cm,124.5,210.8,5.1
407,2001.38.10,164.5 x 284.5 x 5.1 cm,164.5,284.5,5.1
408,2001.38.14,236.2 x 143.5 x nan cm,236.2,143.5,
409,2001.38.15,158.1 x 183.5 x nan cm,158.1,183.5,
410,2001.38.16,175.3 x 246.4 x nan cm,175.3,246.4,
411,2001.38.18,227.3 x 99.1 x 5.1 cm,227.3,99.1,5.1
412,2001.38.4,181.0 x 222.6 x 5.1 cm,181.0,222.6,5.1
413,2001.39.1,121.9 x 152.4 x 3.8 cm,121.9,152.4,3.8
414,2001.39.2,152.4 x 121.9 x 3.8 cm,152.4,121.9,3.8
415,2001.40.1,167.6 x 241.3 x nan cm,167.6,241.3,
416,2001.6.1,51.0 x 41.0 x nan cm,51.0,41.0,
417,2001.8.1,200.7 x 289.6 x nan cm,200.7,289.6,
418,2002.1.1,127.0 x 190.5 x nan cm,127.0,190.5,
419,2002.16.1,87.6 x 138.4 x 5.1 cm,87.6,138.4,5.1
420,2002.16.2,160.7 x 133.4 x 8.9 cm,160.7,133.4,8.9
421,2002.18.1,141.9 x 116.2 x 10.2 cm,141.9,116.2,10.2
422,2002.19.1,91.4 x 121.9 x nan cm,91.4,121.9,
423,2002.2.1,216.5 x 206.7 x 9.5 cm,216.5,206.7,9.5
424,2002.20.1,114.9 x 96.8 x 5.1 cm,114.9,96.8,5.1
425,2002.20.2,101.6 x 94.6 x 5.1 cm,101.6,94.6,5.1
426,2002.20.3,218.4 x 160.0 x 5.1 cm,218.4,160.0,5.1
427,2002.20.4,473.7 x 57.2 x 2.5 cm,473.7,57.2,2.5
428,2002.20.5,469.9 x 43.2 x 2.5 cm,469.9,43.2,2.5
429,2002.20.6,24.1 x 55.9 x 4.1 cm,24.1,55.9,4.1
430,2002.20.7,224.8 x 99.1 x 3.8 cm,224.8,99.1,3.8
431,2002.21.1,186.1 x 201.3 x 5.1 cm,186.1,201.3,5.1
432,2002.23.10,108.9 x 108.9 x 3.8 cm,108.9,108.9,3.8
433,2002.23.3,60.3 x 68.6 x 19.1 cm,60.3,68.6,19.1
434,2002.23.8,96.5 x 172.7 x 3.5 cm,96.5,172.7,3.5
435,2002.25.1,165.1 x 203.2 x 15.2 cm,165.1,203.2,15.2
436,2002.28.1,210.8 x 99.1 x nan cm,210.8,99.1,
437,2002.33.1,145.1 x 197.5 x nan cm,145.1,197.5,
438,2003.2.6,55.9 x 48.9 x nan cm,55.9,48.9,
439,2003.3.1,61.0 x 213.4 x nan cm,61.0,213.4,
440,2003.4.3,198.1 x 182.9 x nan cm,198.1,182.9,
441,2003.5.1,109.9 x 91.1 x nan cm,109.9,91.1,
442,2003.6.1,94.0 x 88.9 x nan cm,94.0,88.9,
443,2003.7.1,111.8 x 111.8 x nan cm,111.8,111.8,
444,2004.1.18,82.6 x 63.5 x 2.5 cm,82.6,63.5,2.5
445,2004.1.19,16.5 x 26.0 x 1.6 cm,16.5,26.0,1.6
446,2004.1.9,83.8 x 101.6 x nan cm,83.8,101.6,
447,2004.2.1,189.2 x 78.7 x 154.9 cm,189.2,78.7,154.9
448,2004.3.1,259.1 x 81.3 x 71.1 cm,259.1,81.3,71.1
449,2005.2.2,73.7 x 59.7 x nan cm,73.7,59.7,
450,2005.3.1,279.4 x 177.8 x 17.8 cm,279.4,177.8,17.8
451,2005.4.1.A,228.6 x 208.3 x 208.3 cm,228.6,208.3,208.3
452,2005.4.1.B,228.6 x 208.3 x 208.3 cm,228.6,208.3,208.3
453,2005.4.1.C,228.6 x 208.3 x 208.3 cm,228.6,208.3,208.3
454,2005.4.1.D,228.6 x 208.3 x 208.3 cm,228.6,208.3,208.3
455,2006.11.1,100.3 x 124.5 x nan cm,100.3,124.5,
456,2006.11.2,101.6 x 129.5 x nan cm,101.6,129.5,
457,2006.11.3,67.3 x 185.4 x nan cm,67.3,185.4,
458,2006.3.1,57.8 x 42.5 x 2.2 cm,57.8,42.5,2.2
459,2006.4.1,294.6 x 444.5 x nan cm,294.6,444.5,
460,2006.5.1,101.6 x 101.6 x 4.4 cm,101.6,101.6,4.4
461,2006.5.2,101.6 x 101.6 x 4.4 cm,101.6,101.6,4.4
462,2006.7.1.1,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
463,2006.7.1.10,142.6 x 107.0 x 5.1 cm,142.6,107.0,5.1
464,2006.7.1.11,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
465,2006.7.1.12,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
466,2006.7.1.13,142.6 x 107.0 x 5.1 cm,142.6,107.0,5.1
467,2006.7.1.14,142.6 x 107.0 x 5.1 cm,142.6,107.0,5.1
468,2006.7.1.15,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
469,2006.7.1.2,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
470,2006.7.1.3,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
471,2006.7.1.4,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
472,2006.7.1.5,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
473,2006.7.1.6,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
474,2006.7.1.7,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
475,2006.7.1.8,142.6 x 107.0 x 5.1 cm,142.6,107.0,5.1
476,2006.7.1.9,107.0 x 142.6 x 5.1 cm,107.0,142.6,5.1
477,2006.8.1,61.0 x 50.8 x nan cm,61.0,50.8,
478,2006.8.2,61.0 x 50.8 x nan cm,61.0,50.8,
479,2007.11.1,137.2 x 45.7 x 24.1 cm,137.2,45.7,24.1
480,2007.2.1.1,94.3 x 119.7 x nan cm,94.3,119.7,
481,2007.2.1.2,94.3 x 119.7 x nan cm,94.3,119.7,
482,2007.2.1.3,94.3 x 119.7 x nan cm,94.3,119.7,
483,2007.2.1.4,94.3 x 119.7 x nan cm,94.3,119.7,
484,2007.2.1.5,94.3 x 119.7 x nan cm,94.3,119.7,
485,2007.2.1.6,94.3 x 119.7 x nan cm,94.3,119.7,
486,2007.5.1,212.1 x 167.6 x nan cm,212.1,167.6,
487,2007.7.2,30.5 x 40.6 x nan cm,30.5,40.6,
488,2007.8.1,302.5 x 500.0 x nan cm,302.5,500.0,
489,2008.10.1,89.9 x 60.0 x nan cm,89.9,60.0,
490,2008.12.1,89.2 x 68.9 x 3.8 cm,89.2,68.9,3.8
491,2008.18.1,127.0 x 81.3 x nan cm,127.0,81.3,
492,2008.4.1,12.7 x 17.8 x nan cm,12.7,17.8,
493,2008.5.1,8.9 x 14.0 x nan cm,8.9,14.0,
494,2008.7.1,74.6 x 74.6 x 3.5 cm,74.6,74.6,3.5
495,2009.1.1,152.4 x 469.9 x 20.3 cm,152.4,469.9,20.3
496,2009.1.1.A,152.4 x 469.9 x 20.3 cm,152.4,469.9,20.3
497,2009.1.1.B,152.4 x 469.9 x 20.3 cm,152.4,469.9,20.3
498,2009.1.1.C,152.4 x 469.9 x 20.3 cm,152.4,469.9,20.3
499,2009.11.1,81.3 x 48.9 x nan cm,81.3,48.9,
500,2009.11.2,48.9 x 104.1 x nan cm,48.9,104.1,
501,2009.11.3,75.6 x 48.9 x nan cm,75.6,48.9,
502,2009.11.4,104.1 x 48.9 x nan cm,104.1,48.9,
503,2009.13.1,188.0 x 132.1 x nan cm,188.0,132.1,
504,2009.13.2,157.5 x 213.4 x nan cm,157.5,213.4,
505,2009.15.1,53.3 x 42.9 x 5.1 cm,53.3,42.9,5.1
506,2009.16.1,32.1 x 32.1 x nan cm,32.1,32.1,
507,2009.16.1.A,32.1 x 32.1 x nan cm,32.1,32.1,
508,2009.16.1.B,32.1 x 32.1 x nan cm,32.1,32.1,
509,2009.16.1.C,32.1 x 32.1 x nan cm,32.1,32.1,
510,2009.16.1.D,32.1 x 32.1 x nan cm,32.1,32.1,
511,2009.16.1.E,32.1 x 32.1 x nan cm,32.1,32.1,
512,2009.3.1,58.4 x 73.7 x nan cm,58.4,73.7,
513,2009.4.1,132.1 x 152.4 x nan cm,132.1,152.4,
514,2009.9.1,103.5 x 88.3 x 4.8 cm,103.5,88.3,4.8
515,2009.9.2,119.4 x 94.0 x nan cm,119.4,94.0,
516,2009.9.3,123.7 x 139.1 x 4.8 cm,123.7,139.1,4.8
517,2010.10.1,180.0 x 150.0 x nan cm,180.0,150.0,
518,2010.10.2,82.6 x 82.6 x nan cm,82.6,82.6,
519,2010.10.3,129.5 x 124.5 x nan cm,129.5,124.5,
520,2010.10.4,82.6 x 121.9 x nan cm,82.6,121.9,
521,2010.10.5,41.3 x 112.4 x nan cm,41.3,112.4,
522,2010.10.6,123.2 x 96.5 x nan cm,123.2,96.5,
523,2010.10.7,243.8 x 46.4 x nan cm,243.8,46.4,
524,2010.11.1,189.5 x 238.4 x nan cm,189.5,238.4,
525,2010.12.1,131.1 x 160.0 x 5.7 cm,131.1,160.0,5.7
526,2010.13.1,76.2 x 115.6 x 4.4 cm,76.2,115.6,4.4
527,2010.14.1,249.9 x 189.9 x nan cm,249.9,189.9,
528,2010.15.1,208.3 x 193.7 x nan cm,208.3,193.7,
529,2010.3.1,53.3 x 75.6 x nan cm,53.3,75.6,
530,2010.3.10,110.5 x 97.8 x nan cm,110.5,97.8,
531,2010.3.12,67.3 x 100.3 x nan cm,67.3,100.3,
532,2010.3.13,48.3 x 58.4 x 5.1 cm,48.3,58.4,5.1
533,2010.3.4,111.8 x 48.3 x nan cm,111.8,48.3,
534,2010.3.5,74.9 x 59.1 x 2.5 cm,74.9,59.1,2.5
535,2010.3.7,50.5 x 52.1 x 5.1 cm,50.5,52.1,5.1
536,2010.3.8,57.5 x 65.1 x 3.8 cm,57.5,65.1,3.8
537,2010.3.9,65.4 x 92.1 x nan cm,65.4,92.1,
538,2010.4.1,101.6 x 127.0 x nan cm,101.6,127.0,
539,2010.6.1,101.9 x 127.0 x 0.3 cm,101.9,127.0,0.3
540,2010.6.2,101.9 x 127.0 x 0.3 cm,101.9,127.0,0.3
541,2010.6.3,101.9 x 127.0 x 0.3 cm,101.9,127.0,0.3
542,2010.6.4,101.9 x 127.0 x 0.3 cm,101.9,127.0,0.3
543,2011.1.1,94.0 x 94.0 x 6.4 cm,94.0,94.0,6.4
544,2011.10.1,111.1 x 111.1 x 3.8 cm,111.1,111.1,3.8
545,2011.11.1,127.3 x 63.2 x 0.6 cm,127.3,63.2,0.6
546,2011.12.1,152.1 x 106.7 x 3.2 cm,152.1,106.7,3.2
547,2011.15.1,120.0 x 56.0 x 46.0 cm,120.0,56.0,46.0
548,2011.18.1,106.4 x 132.1 x 5.1 cm,106.4,132.1,5.1
549,2011.18.2,106.4 x 132.1 x 5.1 cm,106.4,132.1,5.1
550,2011.18.3,106.4 x 132.1 x 5.1 cm,106.4,132.1,5.1
551,2011.19.1,193.0 x 63.2 x nan cm,193.0,63.2,
552,2011.19.2,217.2 x 74.6 x nan cm,217.2,74.6,
553,2011.19.3,169.5 x 54.0 x nan cm,169.5,54.0,
554,2011.19.4,125.7 x 54.6 x nan cm,125.7,54.6,
555,2011.19.5,135.9 x 54.6 x nan cm,135.9,54.6,
556,2011.2.1,133.7 x 110.5 x 10.2 cm,133.7,110.5,10.2
557,2011.21.5,50.8 x 64.8 x 2.2 cm,50.8,64.8,2.2
558,2011.22.1,129.5 x 101.6 x nan cm,129.5,101.6,
559,2011.23.1,158.8 x 133.0 x 5.1 cm,158.8,133.0,5.1
560,2011.7.1,127.0 x 96.5 x nan cm,127.0,96.5,
561,2012.1.1,106.4 x 132.1 x 5.1 cm,106.4,132.1,5.1
562,2012.10.1,30.5 x 22.9 x nan cm,30.5,22.9,
563,2012.12.1,64.6 x 84.6 x 3.2 cm,64.6,84.6,3.2
564,2012.13.1,70.5 x 186.4 x 4.4 cm,70.5,186.4,4.4
565,2012.14.1,76.7 x 76.5 x nan cm,76.7,76.5,
566,2012.15.1,152.7 x 191.5 x nan cm,152.7,191.5,
567,2012.16.1,198.1 x 250.2 x nan cm,198.1,250.2,
568,2012.16.2,17.8 x 193.0 x 95.3 cm,17.8,193.0,95.3
569,2012.17.1,128.6 x 80.3 x nan cm,128.6,80.3,
570,2012.18.1,54.0 x 44.0 x 1.1 cm,54.0,44.0,1.1
571,2012.18.1.A,54.0 x 44.0 x 1.1 cm,54.0,44.0,1.1
572,2012.18.1.B,50.8 x 40.6 x nan cm,50.8,40.6,
573,2012.18.1.C,50.8 x 40.6 x nan cm,50.8,40.6,
574,2012.18.1.D,50.8 x 40.6 x nan cm,50.8,40.6,
575,2012.18.1.E,50.8 x 40.6 x nan cm,50.8,40.6,
576,2012.18.1.F,50.8 x 40.6 x nan cm,50.8,40.6,
577,2012.19.1,127.0 x 101.6 x nan cm,127.0,101.6,
578,2012.2.1,90.2 x 69.9 x 2.5 cm,90.2,69.9,2.5
579,2012.20.1,183.8 x 152.4 x nan cm,183.8,152.4,
580,2012.21.1,55.6 x 41.0 x 3.2 cm,55.6,41.0,3.2
581,2012.22.1,32.4 x 32.4 x 2.5 cm,32.4,32.4,2.5
582,2012.3.1,30.5 x 25.4 x 8.3 cm,30.5,25.4,8.3
583,2012.4.1,304.8 x 289.6 x 15.2 cm,304.8,289.6,15.2
584,2012.5.1,33.0 x 50.8 x nan cm,33.0,50.8,
585,2012.8.1,160.0 x 125.7 x nan cm,160.0,125.7,
586,2013.1.1,,,,
587,2013.1.1.A,57.8 x 47.6 x 3.8 cm,57.8,47.6,3.8
588,2013.1.1.B,57.2 x 47.6 x 3.8 cm,57.2,47.6,3.8
589,2013.1.1.C,67.3 x 52.7 x 3.8 cm,67.3,52.7,3.8
590,2013.1.1.D,57.8 x 47.6 x 3.8 cm,57.8,47.6,3.8
591,2013.1.1.E,57.8 x 47.6 x 3.8 cm,57.8,47.6,3.8
592,2013.1.1.F,57.8 x 47.6 x 3.8 cm,57.8,47.6,3.8
593,2013.1.1.G,57.8 x 47.6 x 3.8 cm,57.8,47.6,3.8
594,2013.1.1.H,48.9 x 38.1 x 3.8 cm,48.9,38.1,3.8
595,2013.1.1.I,48.9 x 38.7 x 3.8 cm,48.9,38.7,3.8
596,2013.1.1.J,48.9 x 38.1 x 3.8 cm,48.9,38.1,3.8
597,2013.1.1.K,48.9 x 38.7 x 3.8 cm,48.9,38.7,3.8
598,2013.1.1.L,3.8 x nan x nan cm,3.8,,
599,2013.1.1.M,48.9 x 38.7 x 3.8 cm,48.9,38.7,3.8
600,2013.10.1,142.9 x 128.3 x nan cm,142.9,128.3,
601,2013.13.1,182.9 x 457.2 x 5.1 cm,182.9,457.2,5.1
602,2013.13.1.A,182.9 x 91.4 x 5.1 cm,182.9,91.4,5.1
603,2013.13.1.B,182.9 x 91.4 x 5.1 cm,182.9,91.4,5.1
604,2013.13.1.C,182.9 x 91.4 x 5.1 cm,182.9,91.4,5.1
605,2013.13.1.D,182.9 x 91.4 x 5.1 cm,182.9,91.4,5.1
606,2013.13.1.E,182.9 x 91.4 x 5.1 cm,182.9,91.4,5.1
607,2013.16.1,119.4 x 94.0 x nan cm,119.4,94.0,
608,2013.17.1,47.0 x 44.5 x nan cm,47.0,44.5,
609,2013.17.2,44.5 x 47.6 x nan cm,44.5,47.6,
610,2013.2.1,45.7 x 54.6 x nan cm,45.7,54.6,
611,2013.20.1,182.9 x 243.8 x nan cm,182.9,243.8,
612,2013.20.1.A,182.9 x 121.9 x nan cm,182.9,121.9,
613,2013.20.1.B,182.9 x 121.9 x nan cm,182.9,121.9,
614,2013.3.1,95.3 x 82.9 x 8.9 cm,95.3,82.9,8.9
615,2013.6.1,50.8 x 61.0 x nan cm,50.8,61.0,
616,2013.7.1,78.4 x 103.8 x 4.9 cm,78.4,103.8,4.9
617,2013.8.1,227.3 x 66.0 x 50.8 cm,227.3,66.0,50.8
618,2013.9.1,75.9 x 66.5 x 4.4 cm,75.9,66.5,4.4
