,objectID,dimensions,width,height,depth
733,2018.20.3,63.5 x 59.7 x 2.5 cm,63.5,59.7,2.5
734,2018.20.4,35.56 x 27.62 x nan cm,35.56,27.62,
735,2018.22.1,115.9 x 60.0 x nan cm,115.9,60.0,
736,2018.23.1,38.7 x 45.7 x nan cm,38.7,45.7,
737,2018.25.2,35.6 x 61.0 x 35.6 cm,35.6,61.0,35.6
738,2018.25.3,195.6 x 83.8 x nan cm,195.6,83.8,
739,2018.26.1,121.92 x 148.59 x nan cm,121.92,148.59,
740,2018.27.1,111.8 x 132.1 x 3.2 cm,111.8,132.1,3.2
741,2018.4.1,218.4 x 182.9 x nan cm,218.4,182.9,
742,2018.5.1,99.1 x 132.1 x nan cm,99.1,132.1,
743,2018.5.2,99.1 x 132.1 x nan cm,99.1,132.1,
744,2018.6.1,81.3 x 121.9 x nan cm,81.3,121.9,
745,2018.6.2,81.3 x 121.9 x nan cm,81.3,121.9,
746,2018.6.3,61.0 x 91.4 x nan cm,61.0,91.4,
747,2018.6.4,61.0 x 91.4 x nan cm,61.0,91.4,
748,2018.6.5,91.4 x 61.0 x nan cm,91.4,61.0,
749,2018.7.1,203.2 x 243.8 x nan cm,203.2,243.8,
750,2018.8.1,88.9 x 68.6 x 5.1 cm,88.9,68.6,5.1
751,2019.1.1,81.3 x 121.9 x 5.1 cm,81.3,121.9,5.1
752,2019.11.1,121.9 x 121.9 x nan cm,121.9,121.9,
753,2019.12.1,50.8 x 76.2 x nan cm,50.8,76.2,
754,2019.12.2,50.8 x 76.2 x nan cm,50.8,76.2,
755,2019.13.1,55.88 x 71.12 x nan cm,55.88,71.12,
756,2019.13.2,71.12 x 55.88 x nan cm,71.12,55.88,
757,2019.13.3,55.88 x 71.45 x nan cm,55.88,71.45,
758,2019.14.1,34.62 x 49.53 x nan cm,34.62,49.53,
759,2019.14.2,32.66 x 49.23 x nan cm,32.66,49.23,
760,2019.14.3,33.66 x 49.23 x nan cm,33.66,49.23,
761,2019.16.1,44.5 x 47.0 x nan cm,44.5,47.0,
762,2019.16.2,47.0 x 44.5 x nan cm,47.0,44.5,
763,2019.18.1,101.6 x 127.0 x nan cm,101.6,127.0,
